id,score
0,12.399299999999998
1,11.5398
2,5.597500000000001
3,11.7628
4,12.366099999999996
5,9.962700000000002
6,10.5561
7,10.689500000000004
8,11.426300000000001
9,10.442800000000004
10,9.293
11,12.3195
12,10.755799999999997
13,10.326100000000006
14,11.890099999999997
15,9.379800000000001
16,11.165699999999998
17,11.199300000000001
18,9.8697
19,10.709299999999999
20,10.536100000000003
21,10.269300000000003
22,10.689700000000002
23,10.3133
24,12.755399999999995
25,11.815399999999997
26,10.866200000000003
27,8.937
28,9.826300000000003
29,11.2541
30,10.58610000000001
31,10.639200000000006
32,11.313099999999995
33,11.433300000000001
34,8.222600000000005
35,11.282800000000003
36,10.7763
37,10.276200000000003
38,4.2905999999999995
39,11.688900000000004
