id,score
0,12.846499999999999
1,11.3696
2,5.744299999999998
3,11.462700000000002
4,12.365900000000002
5,10.335700000000001
6,9.909000000000004
7,10.543200000000004
8,11.613399999999999
9,10.666300000000001
10,8.9231
11,11.849300000000003
12,10.945799999999997
13,9.655800000000005
14,10.976300000000005
15,9.272600000000004
16,10.699000000000002
17,11.509100000000005
18,10.0332
19,10.316599999999996
20,10.6495
21,10.4396
22,10.318900000000006
23,10.019200000000005
24,12.952699999999998
25,11.658600000000002
26,10.486000000000004
27,8.700299999999999
28,9.7662
29,11.733100000000002
30,10.972700000000001
31,10.202900000000003
32,11.589700000000002
33,11.219500000000005
34,8.395900000000003
35,10.729000000000006
36,10.083000000000004
37,9.2527
38,4.658000000000002
39,11.476199999999999
